Player,Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PlayerID
Cam Reddish,LAL,SF,24.0,48.0,26.0,20.5,1.8958333333333333,4.875,0.389,0.7708333333333334,2.2916666666666665,0.336,1.125,2.583333333333333,0.435,0.8541666666666666,1.125,0.759,0.5625,1.5,2.0625,1.0,0.9791666666666666,0.2916666666666667,0.6458333333333334,1.3333333333333333,5.416666666666667,2463946.0,380
Bones Hyland,LAC,PG,23.0,37.0,5.0,14.594594594594597,2.621621621621621,6.783783783783784,0.386,1.1891891891891893,3.6486486486486487,0.326,1.4324324324324325,3.135135135135135,0.457,0.4864864864864865,0.6216216216216216,0.783,0.1351351351351351,1.351351351351351,1.4864864864864864,2.5135135135135136,0.7027027027027027,0.1081081081081081,1.1891891891891893,1.3783783783783785,6.918918918918919,4158439.0,381
Mo Bamba,PHI,C,25.0,57.0,17.0,12.982456140350877,1.7017543859649122,3.473684210526316,0.49,0.4385964912280701,1.1228070175438596,0.391,1.263157894736842,2.3508771929824563,0.537,0.5964912280701754,0.8771929824561403,0.68,1.350877192982456,2.824561403508772,4.175438596491228,0.7192982456140351,0.3859649122807017,1.0526315789473684,0.6842105263157895,1.7719298245614037,4.43859649122807,2087519.0,382
Caleb Houstan,ORL,SF,21.0,59.0,13.0,13.813559322033898,1.3559322033898304,3.4915254237288136,0.388,1.2203389830508475,3.2711864406779663,0.373,0.135593220338983,0.2203389830508474,0.615,0.3559322033898305,0.4406779661016949,0.808,0.4745762711864407,0.9491525423728814,1.423728813559322,0.4915254237288136,0.2542372881355932,0.0677966101694915,0.2711864406779661,1.0338983050847457,4.288135593220339,2019699.0,383
A.J. Green,MIL,SG,24.0,56.0,0.0,10.964285714285714,1.4821428571428572,3.5,0.423,1.2321428571428572,3.017857142857143,0.408,0.25,0.4821428571428571,0.519,0.3035714285714285,0.3392857142857143,0.895,0.1607142857142857,0.9821428571428572,1.1428571428571428,0.5357142857142857,0.1607142857142857,0.0714285714285714,0.2142857142857142,0.875,4.5,2120693.0,384
Ben Sheppard,IND,SG,22.0,57.0,1.0,14.280701754385966,1.5789473684210529,4.017543859649122,0.393,0.8596491228070176,2.736842105263158,0.314,0.7192982456140351,1.280701754385965,0.562,0.4035087719298245,0.4561403508771929,0.885,0.2631578947368421,1.2982456140350878,1.5614035087719298,0.9298245614035088,0.5789473684210527,0.0350877192982456,0.2631578947368421,1.543859649122807,4.421052631578948,2663880.0,385
Jared Butler,WAS,SG,23.0,40.0,0.0,14.15,2.45,5.025,0.488,0.6,1.95,0.308,1.85,3.075,0.602,0.775,0.9,0.861,0.225,1.225,1.45,3.15,0.725,0.2,1.25,1.45,6.275,2196970.0,386
Mason Plumlee,LAC,C,33.0,46.0,11.0,14.652173913043478,1.891304347826087,3.3260869565217392,0.569,0.0,0.1304347826086956,0.0,1.891304347826087,3.1956521739130435,0.592,1.5217391304347827,2.152173913043478,0.707,1.3043478260869563,3.782608695652174,5.086956521739131,1.1956521739130437,0.3043478260869565,0.3695652173913043,0.782608695652174,1.4782608695652173,5.304347826086956,2087519.0,387
Mark Williams,CHO,C,22.0,19.0,19.0,26.73684210526316,5.157894736842105,7.947368421052632,0.649,0.0,0.0,,5.157894736842105,7.947368421052632,0.649,2.421052631578948,3.3684210526315788,0.719,4.0,5.684210526315789,9.68421052631579,1.1578947368421053,0.8421052631578947,1.0526315789473684,0.8947368421052632,2.631578947368421,12.736842105263158,4094280.0,388
Brice Sensabaugh,UTA,SF,20.0,32.0,11.0,18.25,2.65625,6.8125,0.39,1.0625,3.59375,0.296,1.59375,3.21875,0.495,1.15625,1.28125,0.902,0.5,2.6875,3.1875,1.71875,0.40625,0.1875,1.46875,1.34375,7.53125,2571480.0,389
